object,deltaKitchen,deltaModel,removeCount
KitchenSpaceFactory,0.1122251606958765,0.0468780487804878,41
PanFactory,0.09421035705599938,0.006000000000000005,4
BowlFactory,0.058230450776006526,0.04642857142857142,7
CupFactory,0.053248475455412926,-0.01957142857142858,7
PotFactory,0.05145814537536351,0.1314,5
OvenFactory,0.04415979363666514,-0.049,46
SinkFactory,0.03937385635799729,0.0055454545454545374,22
MicrowaveFactory,0.03818251770488655,-0.10228571428571429,7
PlantContainerFactory,0.03710005012244975,-0.03882352941176471,17
WineglassFactory,0.030685003167101443,-0.09657142857142857,7
BeverageFridgeFactory,0.029946071571127202,-0.006000000000000009,18
LargeShelfFactory,0.027523359949150786,0.03349999999999999,18
SingleCabinetFactory,0.026230235905901417,-1.6012832085939759e-18,26
KitchenCabinetFactory,0.024108341101404782,0.0016153846153846066,26
BookStackFactory,0.020423235017134507,-0.003142857142857139,42
FoodBoxFactory,0.019719368119649233,-0.025414634146341465,41
WallArtFactory,0.016459186199881515,0.001624999999999991,16
PlateFactory,0.014611734659411003,-0.021599999999999994,5
CellShelfFactory,0.014551656490718755,-0.0001578947368421054,19
FoodBagFactory,0.014491557802906917,0.0019705882352941155,34
CanFactory,0.01435477262304561,-0.014605263157894744,38
DeskLampFactory,0.014210311592245766,-0.011272727272727262,11
SimpleBookcaseFactory,0.014132613025695176,0.012000000000000004,30
LargePlantContainerFactory,0.012504014164740056,0.009720000000000005,25
JarFactory,0.011555471382622693,0.013860465116279067,43
BottleFactory,0.011195424126081127,-0.006651162790697673,43
BookColumnFactory,0.011047006853105917,-0.011277777777777793,18
NatureShelfTrinketsFactory,0.010679022656367209,-0.00047272727272727516,55
CeilingLightFactory,0.010242603669466917,0.026559999999999993,50
DishwasherFactory,0.008919472463898445,0.035842105263157883,19
MirrorFactory,0.008429738798771378,0.0029090909090909067,11
